Client ID,Average Number of Tickets,Number of Employees,Value of Contract,Industry
IW704,6,165,75000,Manufacturing
QY940,4,105,25000,Retail
HS718,106,665,225000,Retail
IM026,10,207,50000,Services
ZL960,89,697,150000,Retail
PA205,7,112,50000,Manufacturing
WN426,13,154,75000,Manufacturing
KS766,18,558,250000,Retail
RQ223,7,114,25000,Manufacturing
UD617,93,643,200000,Retail
OO381,57,566,200000,Services
FR220,8,139,50000,Retail
YD850,7,115,50000,Retail
XQ397,24,299,125000,Services
GN110,207,862,175000,Manufacturing
YF322,32,406,150000,Retail
TK801,98,583,150000,Manufacturing
TD390,1,54,25000,Retail
DG864,92,578,225000,Services
OA701,11,168,50000,Retail
GI736,11,141,50000,Retail
ME342,116,582,250000,Services
WS394,28,351,150000,Retail
YL712,8,99,25000,Retail
XZ950,21,287,75000,Manufacturing
FS634,83,383,150000,Manufacturing
FT411,4,56,25000,Services
BJ808,11,101,25000,Manufacturing
FC405,80,447,150000,Services
RG708,82,568,225000,Retail
LX009,93,484,200000,Manufacturing
FH721,17,232,75000,Retail
GW810,125,696,200000,Services
OJ363,154,714,150000,Manufacturing
LQ826,10,160,75000,Manufacturing
NR876,22,466,125000,Retail
HA911,14,435,125000,Retail
RP417,42,434,150000,Manufacturing
AH106,10,475,175000,Services
RW590,28,889,225000,Retail
QP283,13,134,50000,Manufacturing
NS690,11,174,75000,Retail
IF530,2,104,50000,Retail
WR759,136,708,250000,Manufacturing
XB147,41,427,175000,Retail
QQ766,10,614,175000,Retail
RV152,29,301,75000,Manufacturing
VW099,25,614,225000,Services
HW462,24,498,175000,Manufacturing
KV080,46,956,200000,Retail
ZV891,3,75,25000,Retail
CK123,90,937,225000,Retail
XN300,16,332,100000,Retail
MY364,4,107,50000,Manufacturing
XH253,149,620,175000,Manufacturing
TK935,3,98,25000,Services
EA907,14,340,100000,Retail
SO073,21,872,225000,Manufacturing
ML204,66,346,125000,Manufacturing
VP668,10,630,150000,Retail
EU061,9,249,75000,Manufacturing
RB539,70,696,250000,Services
VN296,16,515,150000,Retail
YY933,12,213,100000,Retail
WR751,8,264,75000,Retail
ES504,77,402,150000,Manufacturing
XV636,4,153,75000,Manufacturing
BO657,91,943,250000,Retail
AZ991,94,558,225000,Manufacturing
DS387,28,589,250000,Retail
UD478,5,51,25000,Services
GA798,125,980,250000,Retail
IX698,4,258,75000,Retail
XX511,1,52,25000,Retail
JM406,38,296,125000,Retail
AK362,125,865,200000,Manufacturing
XZ882,156,1086,250000,Manufacturing
TJ812,79,615,200000,Retail
LF796,145,671,200000,Manufacturing
QB541,5,68,25000,Services
HG169,56,877,250000,Retail
MI268,17,268,125000,Retail
IE724,10,124,50000,Retail
PU178,97,449,200000,Manufacturing
KL471,140,730,250000,Manufacturing
BP613,2,150,75000,Retail
BC940,9,130,50000,Manufacturing
EQ885,18,559,250000,Retail
VY811,89,1113,225000,Services
LR126,47,417,150000,Retail
XU084,8,424,200000,Services
WM703,21,205,100000,Services
EA188,21,444,125000,Retail
XN129,34,304,150000,Retail
MH413,7,424,175000,Retail
QP954,26,311,75000,Manufacturing
YW363,45,468,200000,Manufacturing
GB108,7,117,50000,Retail
KJ093,126,526,150000,Manufacturing
IF235,55,303,150000,Services
EY701,4,62,25000,Retail
NV543,4,63,25000,Retail
ZF679,2,56,25000,Services
WN214,17,157,75000,Manufacturing
ZH537,23,473,100000,Manufacturing
GT494,68,533,250000,Retail
MT152,66,304,125000,Manufacturing
NS835,64,403,175000,Retail
ZW586,4,61,25000,Retail
RV252,28,709,225000,Services
EY633,14,358,100000,Services
EH313,50,625,175000,Services
AF307,1,140,50000,Retail
HK398,6,400,125000,Retail
JT152,6,51,25000,Manufacturing
BB681,6,257,100000,Manufacturing
CE418,2,103,50000,Retail
BM881,99,412,200000,Manufacturing
RI108,4,58,25000,Retail
PW929,13,241,100000,Retail
KI610,3,174,75000,Services
NB548,82,514,200000,Retail
RC623,6,103,50000,Manufacturing
MV776,11,444,175000,Manufacturing
ZW409,93,724,200000,Retail
NJ331,174,969,225000,Services
VO165,28,349,125000,Retail
AB602,15,124,25000,Manufacturing
PG795,91,540,175000,Manufacturing
JF253,8,162,50000,Retail
KZ248,63,653,200000,Manufacturing
DI989,48,501,175000,Retail
WZ875,41,511,150000,Services
SF121,10,125,50000,Retail
CC371,52,323,125000,Services
NQ125,3,57,25000,Manufacturing
IH194,66,548,250000,Manufacturing
IO409,50,447,150000,Retail
NQ415,25,518,225000,Manufacturing
YP608,25,310,150000,Services
ZO933,77,1063,250000,Manufacturing
KX169,74,517,150000,Retail
LX315,14,570,150000,Manufacturing
SX017,32,493,225000,Retail
SS770,96,665,225000,Retail
AC350,73,457,125000,Services
GQ824,62,550,200000,Retail
BM064,35,345,125000,Services
TA797,7,77,25000,Manufacturing
YK628,6,131,50000,Retail
OV680,20,336,75000,Manufacturing
LK884,33,515,250000,Retail
PO730,32,399,175000,Retail
BM153,91,760,200000,Services
FD620,16,492,200000,Retail
ED757,33,275,100000,Manufacturing
CO779,31,638,150000,Manufacturing
UP105,1,102,50000,Retail
SJ240,44,615,250000,Manufacturing
WY304,4,50,25000,Retail
RS453,34,560,250000,Services
AE832,28,575,175000,Retail
GB470,53,474,175000,Retail
KR852,21,533,200000,Services
MD071,73,607,200000,Manufacturing
TW282,1,93,25000,Retail
KX173,74,615,200000,Manufacturing
LX368,9,563,200000,Retail
AO425,13,180,75000,Services
RK910,19,301,100000,Retail
NX264,5,209,75000,Retail
ZG121,106,531,225000,Services
